section,subsection,item_no,description,description_original,unit,price,currency,price_type,page_number,category,subcategory,remarks
1,1.1,1.1.1,"Demolishing the lamera wall","Demolishing the lamera wall",m²,172.41,ETB,Direct Cost,6,Demolition,Demolition,
1,1.1,1.1.2,"Demolishing the existing CIS wall","Demolishing the existing CIS wall",m²,32.33,ETB,Direct Cost,6,Demolition,Demolition,
1,1.1,1.1.3,"Demolishing of wooden wall","Demolishing of wooden wall",m²,182.53,ETB,Direct Cost,6,Demolition,Demolition,
1,1.1,1.1.4,"Demolishing of gypsum wall","Demolishing of gypsum wall",m²,91.27,ETB,Direct Cost,6,Demolition,Demolition,
1,1.1,1.1.5,"Demolishing the CIS roof","Demolishing the CIS roof",m²,51.72,ETB,Direct Cost,6,Demolition,Demolition,
1,1.1,1.1.6,"Demolishing of 7x5 cm zigba purline","Demolishing of 7x5 cm zigba purline",ml,25.86,ETB,Direct Cost,6,Demolition,Demolition,
1,1.1,1.1.7,"Demolishing of eucalyptus upper & lower chords","Demolishing of eucalyptus upper & lower chords",ml,79.91,ETB,Direct Cost,6,Demolition,Demolition,
1,1.1,1.1.8,"Dimolish RHS purline","Dimolish RHS purline",ml,43.10,ETB,Direct Cost,6,Demolition,Demolition,
1,1.1,1.1.9,"Dimolishing the RHS truss.","Dimolishing the RHS truss.",ml,103.01,ETB,Direct Cost,6,Demolition,Demolition,
1,1.1,1.1.10,"Desmantling Gutter","Desmantling Gutter",ml,34.30,ETB,Direct Cost,6,Demolition,Demolition,
1,1.1,1.1.11,"Desmantling down pipe","Desmantling down pipe",ml,69.82,ETB,Direct Cost,6,Demolition,Demolition,
1,1.1,1.1.12,"Demolishing the chipwood ceiling","Demolishing the chipwood ceiling",m²,119.56,ETB,Direct Cost,6,Demolition,Demolition,
1,1.1,1.1.13,"Demolishing the timber ceiling","Demolishing the timber ceiling",m²,166.06,ETB,Direct Cost,6,Demolition,Demolition,
1,1.1,1.1.14,"Demolishing the abujedid ceiling","Demolishing the abujedid ceiling",m²,41.51,ETB,Direct Cost,6,Demolition,Demolition,
1,1.1,1.1.15,"Dismantle the metal doors from the wall.","Dismantle the metal doors from the wall.",m²,169.07,ETB,Direct Cost,6,Demolition,Demolition,
1,1.1,1.1.16,"Dismantle the metal windows from the wall.","Dismantle the metal windows from the wall.",m²,152.16,ETB,Direct Cost,6,Demolition,Demolition,
1,1.1,1.1.17,"Desmantling fascia board","Desmantling fascia board",ml,47.65,ETB,Direct Cost,6,Demolition,Demolition,
1,1.1,1.1.18,"Desmantling ridge & copping","Desmantling ridge & copping",ml,68.60,ETB,Direct Cost,6,Demolition,Demolition,
1,1.1,1.1.19,"Demolishing the PVC floor tile","Demolishing the PVC floor tile",m²,45.63,ETB,Direct Cost,6,Demolition,Demolition,
